Bin_Number,M_Value,Prob_Value,Zero_One_Loss_Avg,P_Macro_Avg,Average
14,29,0.0003448275862068965,0.9548343685300207,0.9420673141945126,0.9484508413622667
14,30,0.0003333333333333333,0.9548343685300207,0.9420673141945126,0.9484508413622667
14,31,0.0003225806451612903,0.9548343685300207,0.9422879024298068,0.9485611354799137
14,32,0.0003125,0.9548343685300207,0.9422879024298068,0.9485611354799137
14,33,0.00030303030303030303,0.9548343685300207,0.9422879024298068,0.9485611354799137
15,24,0.0004166666666666667,0.961273291925466,0.9474722023060572,0.9543727471157616
15,25,0.0004,0.961273291925466,0.9474722023060572,0.9543727471157616
15,26,0.0003846153846153846,0.961273291925466,0.9474722023060572,0.9543727471157616
15,27,0.00037037037037037035,0.961273291925466,0.9474722023060572,0.9543727471157616
15,28,0.00035714285714285714,0.961273291925466,0.9474722023060572,0.9543727471157616
15,29,0.0003448275862068965,0.961273291925466,0.9474722023060572,0.9543727471157616
15,30,0.0003333333333333333,0.961273291925466,0.9474722023060572,0.9543727471157616
15,31,0.0003225806451612903,0.961273291925466,0.9474722023060572,0.9543727471157616
15,32,0.0003125,0.961273291925466,0.9474722023060572,0.9543727471157616
15,33,0.00030303030303030303,0.961273291925466,0.9474722023060572,0.9543727471157616
16,24,0.0004166666666666667,0.9504037267080745,0.9383517370898569,0.9443777318989657
16,25,0.0004,0.9504037267080745,0.9383517370898569,0.9443777318989657
16,26,0.0003846153846153846,0.9504037267080745,0.9383517370898569,0.9443777318989657
16,27,0.00037037037037037035,0.9511180124223604,0.9389711064592262,0.9450445594407932
16,28,0.00035714285714285714,0.9511180124223604,0.9389711064592262,0.9450445594407932
16,29,0.0003448275862068965,0.9504037267080745,0.9382393137421394,0.944321520225107
16,30,0.0003333333333333333,0.9504037267080745,0.9382393137421394,0.944321520225107
16,31,0.0003225806451612903,0.9504037267080745,0.9382393137421394,0.944321520225107
16,32,0.0003125,0.9504037267080745,0.9382393137421394,0.944321520225107
16,33,0.00030303030303030303,0.9504037267080745,0.9382393137421394,0.944321520225107
17,24,0.0004166666666666667,0.9532919254658385,0.940522655133066,0.9469072902994522
17,25,0.0004,0.9532919254658385,0.940522655133066,0.9469072902994522
17,26,0.0003846153846153846,0.9532919254658385,0.940522655133066,0.9469072902994522
17,27,0.00037037037037037035,0.954016563146998,0.9410226551330659,0.947519609140032
17,28,0.00035714285714285714,0.954016563146998,0.9410226551330659,0.947519609140032
17,29,0.0003448275862068965,0.9547412008281574,0.9415643217997326,0.948152761313945
17,30,0.0003333333333333333,0.9547412008281574,0.9415643217997326,0.948152761313945
17,31,0.0003225806451612903,0.9547412008281574,0.9415643217997326,0.948152761313945
17,32,0.0003125,0.9547412008281574,0.9415643217997326,0.948152761313945
