,Data,Bin_Number,M_Value,Prob_Value,Zero_One_Loss_Avg,P_Macro_Avg,Average
80,Iris,19,24,0.0004166666666666667,0.9464285714285715,0.7666666666666667,0.8565476190476191
81,Iris,19,25,0.0004,0.9464285714285715,0.7666666666666667,0.8565476190476191
82,Iris,19,26,0.0003846153846153846,0.9464285714285715,0.7666666666666667,0.8565476190476191
83,Iris,19,27,0.00037037037037037035,0.9464285714285715,0.7666666666666667,0.8565476190476191
84,Iris,19,28,0.00035714285714285714,0.9464285714285715,0.7666666666666667,0.8565476190476191
85,Iris,19,29,0.0003448275862068965,0.9464285714285715,0.7666666666666667,0.8565476190476191
86,Iris,19,30,0.0003333333333333333,0.9464285714285715,0.7666666666666667,0.8565476190476191
87,Iris,19,31,0.0003225806451612903,0.9464285714285715,0.7666666666666667,0.8565476190476191
88,Iris,19,32,0.0003125,0.9464285714285715,0.7666666666666667,0.8565476190476191
89,Iris,19,33,0.00030303030303030303,0.943095238095238,0.7666666666666667,0.8548809523809524
90,Iris,20,24,0.0004166666666666667,0.9266666666666667,0.6933333333333334,0.81
91,Iris,20,25,0.0004,0.9266666666666667,0.6933333333333334,0.81
92,Iris,20,26,0.0003846153846153846,0.9266666666666667,0.6933333333333334,0.81
93,Iris,20,27,0.00037037037037037035,0.9233333333333335,0.6933333333333334,0.8083333333333333
94,Iris,20,28,0.00035714285714285714,0.9199999999999999,0.6933333333333334,0.8066666666666666
95,Iris,20,29,0.0003448275862068965,0.9199999999999999,0.6933333333333334,0.8066666666666666
96,Iris,20,30,0.0003333333333333333,0.9199999999999999,0.6933333333333334,0.8066666666666666
97,Iris,20,31,0.0003225806451612903,0.9199999999999999,0.6933333333333334,0.8066666666666666
98,Iris,20,32,0.0003125,0.9199999999999999,0.6933333333333334,0.8066666666666666
99,Iris,20,33,0.00030303030303030303,0.9133333333333333,0.6933333333333334,0.8033333333333333
100,SoyBean,11,24,0.0004166666666666667,0.9400000000000001,0.9291666666666666,0.9345833333333333
101,SoyBean,11,25,0.0004,0.9400000000000001,0.9291666666666666,0.9345833333333333
102,SoyBean,11,26,0.0003846153846153846,0.9400000000000001,0.9291666666666666,0.9345833333333333
103,SoyBean,11,27,0.00037037037037037035,0.9400000000000001,0.9291666666666666,0.9345833333333333
104,SoyBean,11,28,0.00035714285714285714,0.9400000000000001,0.9291666666666666,0.9345833333333333
105,SoyBean,11,29,0.0003448275862068965,0.93,0.9041666666666666,0.9170833333333333
106,SoyBean,11,30,0.0003333333333333333,0.9199999999999999,0.9041666666666666,0.9120833333333332
107,SoyBean,11,31,0.0003225806451612903,0.9199999999999999,0.9041666666666666,0.9120833333333332
108,SoyBean,11,32,0.0003125,0.9199999999999999,0.9041666666666666,0.9120833333333332
109,SoyBean,11,33,0.00030303030303030303,0.9199999999999999,0.9041666666666666,0.9120833333333332
110,SoyBean,12,24,0.0004166666666666667,0.8925000000000001,0.8416666666666666,0.8670833333333333
111,SoyBean,12,25,0.0004,0.8925000000000001,0.8416666666666666,0.8670833333333333
112,SoyBean,12,26,0.0003846153846153846,0.8925000000000001,0.8416666666666666,0.8670833333333333
113,SoyBean,12,27,0.00037037037037037035,0.8925000000000001,0.8416666666666666,0.8670833333333333
114,SoyBean,12,28,0.00035714285714285714,0.8925000000000001,0.8416666666666666,0.8670833333333333
115,SoyBean,12,29,0.0003448275862068965,0.8925000000000001,0.8416666666666666,0.8670833333333333
116,SoyBean,12,30,0.0003333333333333333,0.8925000000000001,0.8416666666666666,0.8670833333333333
117,SoyBean,12,31,0.0003225806451612903,0.8925000000000001,0.8416666666666666,0.8670833333333333
118,SoyBean,12,32,0.0003125,0.905,0.8666666666666666,0.8858333333333333
119,SoyBean,12,33,0.00030303030303030303,0.905,0.8666666666666666,0.8858333333333333
120,SoyBean,13,24,0.0004166666666666667,0.8525,0.7666666666666667,0.8095833333333333
121,SoyBean,13,25,0.0004,0.8525,0.7666666666666667,0.8095833333333333
122,SoyBean,13,26,0.0003846153846153846,0.8425,0.7666666666666667,0.8045833333333334
123,SoyBean,13,27,0.00037037037037037035,0.8425,0.7666666666666667,0.8045833333333334
124,SoyBean,13,28,0.00035714285714285714,0.8425,0.7666666666666667,0.8045833333333334
125,SoyBean,13,29,0.0003448275862068965,0.8425,0.7666666666666667,0.8045833333333334
126,SoyBean,13,30,0.0003333333333333333,0.8425,0.7666666666666667,0.8045833333333334
127,SoyBean,13,31,0.0003225806451612903,0.8425,0.7666666666666667,0.8045833333333334
128,SoyBean,13,32,0.0003125,0.8425,0.7666666666666667,0.8045833333333334
129,SoyBean,13,33,0.00030303030303030303,0.8425,0.7666666666666667,0.8045833333333334
130,SoyBean,14,24,0.0004166666666666667,0.9375,0.9,0.91875
131,SoyBean,14,25,0.0004,0.9375,0.9,0.91875
132,SoyBean,14,26,0.0003846153846153846,0.9375,0.9,0.91875
133,SoyBean,14,27,0.00037037037037037035,0.9275,0.8875,0.9075
134,SoyBean,14,28,0.00035714285714285714,0.9275,0.8875,0.9075
135,SoyBean,14,29,0.0003448275862068965,0.9275,0.8875,0.9075
136,SoyBean,14,30,0.0003333333333333333,0.9275,0.8875,0.9075
137,SoyBean,14,31,0.0003225806451612903,0.9275,0.8875,0.9075
138,SoyBean,14,32,0.0003125,0.9275,0.8875,0.9075
139,SoyBean,14,33,0.00030303030303030303,0.9275,0.8875,0.9075
140,SoyBean,15,24,0.0004166666666666667,0.9199999999999999,0.8625,0.89125
141,SoyBean,15,25,0.0004,0.9199999999999999,0.8625,0.89125
142,SoyBean,15,26,0.0003846153846153846,0.9199999999999999,0.8625,0.89125
143,SoyBean,15,27,0.00037037037037037035,0.9199999999999999,0.8625,0.89125
144,SoyBean,15,28,0.00035714285714285714,0.9199999999999999,0.8625,0.89125
145,SoyBean,15,29,0.0003448275862068965,0.9199999999999999,0.8625,0.89125
146,SoyBean,15,30,0.0003333333333333333,0.9199999999999999,0.8625,0.89125
147,SoyBean,15,31,0.0003225806451612903,0.9199999999999999,0.8625,0.89125
148,SoyBean,15,32,0.0003125,0.9199999999999999,0.8625,0.89125
149,SoyBean,15,33,0.00030303030303030303,0.9199999999999999,0.8625,0.89125
150,SoyBean,16,24,0.0004166666666666667,0.8800000000000001,0.8375,0.8587500000000001
151,SoyBean,16,25,0.0004,0.8699999999999999,0.8125,0.8412499999999999
152,SoyBean,16,26,0.0003846153846153846,0.8699999999999999,0.8125,0.8412499999999999
153,SoyBean,16,27,0.00037037037037037035,0.8699999999999999,0.8125,0.8412499999999999
154,SoyBean,16,28,0.00035714285714285714,0.8699999999999999,0.8125,0.8412499999999999
